FeatureCode,Population,Region,CovidDeaths,CovidDeathsPer100k,
S12000005,51540,Clackmannanshire,48,93.13,
S12000006,148860,Dumfries and Galloway,47,31.57,
S12000008,122010,East Ayrshire,75,61.47,
S12000010,107090,East Lothian,82,76.57,
S12000011,95530,East Renfrewshire,101,105.73,
S12000013,26720,Na h-Eileanan Siar,0,0.00,
S12000014,160890,Falkirk,139,86.39,
S12000017,235830,Highland,51,21.63,
S12000018,77800,Inverclyde,120,154.24,
S12000019,92460,Midlothian,118,127.62,
S12000020,95820,Moray,20,20.87,
S12000021,134740,North Ayrshire,107,79.41,
S12000023,22270,Orkney Islands,2,8.98,
S12000026,115510,Scottish Borders,74,64.06,
S12000027,22920,Shetland Islands,7,30.54,
S12000028,112610,South Ayrshire,112,99.46,
S12000029,320530,South Lanarkshire,316,98.59,
S12000030,94210,Stirling,55,58.38,
S12000033,228670,Aberdeen City,123,53.79,
S12000034,261210,Aberdeenshire,117,44.79,
S12000035,85870,Argyll and Bute,64,74.53,
S12000036,524930,City of Edinburgh,428,81.53,
S12000038,179100,Renfrewshire,206,115.02,
S12000039,88930,West Dunbartonshire,124,139.44,
S12000040,183100,West Lothian,100,54.61,
S12000041,116200,Angus,76,65.40,
S12000042,149320,Dundee City,170,113.85,
S12000045,108640,East Dunbartonshire,138,127.03,
S12000047,373550,Fife,203,54.34,
S12000048,151950,Perth and Kinross,70,46.07,
S12000049,633120,Glasgow City,650,102.67,
S12000050,341370,North Lanarkshire,270,79.09,
