refArea,Reference Area,Count
S92000003,Scotland,5463300
S12000033,Aberdeen City,228670
S12000034,Aberdeenshire,261210
S12000041,Angus,116200
S12000035,Argyll and Bute,85870
S12000036,City of Edinburgh,524930
S12000005,Clackmannanshire,51540
S12000006,Dumfries and Galloway,148860
S12000042,Dundee City,149320
S12000008,East Ayrshire,122010
S12000045,East Dunbartonshire,108640
S12000010,East Lothian,107090
S12000011,East Renfrewshire,95530
S12000014,Falkirk,160890
S12000047,Fife,373550
S12000049,Glasgow City,633120
S12000017,Highland,235830
S12000018,Inverclyde,77800
S12000019,Midlothian,92460
S12000020,Moray,95820
S12000013,Na h-Eileanan Siar,26720
S12000021,North Ayrshire,134740
S12000050,North Lanarkshire,341370
S12000023,Orkney Islands,22270
S12000048,Perth and Kinross,151950
S12000038,Renfrewshire,179100
S12000026,Scottish Borders,115510
S12000027,Shetland Islands,22920
S12000028,South Ayrshire,112610
S12000029,South Lanarkshire,320530
S12000030,Stirling,94210
S12000039,West Dunbartonshire,88930
S12000040,West Lothian,183100
S08000015,Ayrshire and Arran,369360
S08000016,Borders,115510
S08000017,Dumfries and Galloway,148860
S08000029,Fife,373550
S08000019,Forth Valley,306640
S08000020,Grampian,585700
S08000031,Greater Glasgow and Clyde,1183120
S08000022,Highland,321700
S08000032,Lanarkshire,661900
S08000024,Lothian,907580
S08000025,Orkney,22270
S08000026,Shetland,22920
S08000030,Tayside,417470
S08000028,Western Isles,26720
